Numero de documentos del corpus: 3889
Numero de palabras del corpus: 331483
Palabra: aa Frec: 71 LogProb: -6.90772750081855
Palabra: aaa Frec: 41 LogProb: -7.446724001551237
Palabra: aaabattery Frec: 1 LogProb: -10.49124643927466
Palabra: aaar Frec: 0 LogProb: -11.184393619834605
Palabra: aaas Frec: 0 LogProb: -11.184393619834605
Palabra: aac Frec: 31 LogProb: -7.718657717034878
Palabra: aachen Frec: 0 LogProb: -11.184393619834605
Palabra: aadhaar Frec: 4 LogProb: -9.574955707400505
Palabra: aadhar Frec: 1 LogProb: -10.49124643927466
Palabra: aadhunik Frec: 0 LogProb: -11.184393619834605
Palabra: aadhya Frec: 0 LogProb: -11.184393619834605
Palabra: aadi Frec: 0 LogProb: -11.184393619834605
Palabra: aadmi Frec: 0 LogProb: -11.184393619834605
Palabra: aadmora Frec: 0 LogProb: -11.184393619834605
Palabra: aadvay Frec: 0 LogProb: -11.184393619834605
Palabra: aai Frec: 0 LogProb: -11.184393619834605
Palabra: aaiffel Frec: 0 LogProb: -11.184393619834605
Palabra: aaj Frec: 0 LogProb: -11.184393619834605
Palabra: aakash Frec: 0 LogProb: -11.184393619834605
Palabra: aakrithi Frec: 0 LogProb: -11.184393619834605
Palabra: aalim Frec: 0 LogProb: -11.184393619834605
Palabra: aam Frec: 0 LogProb: -11.184393619834605
Palabra: aamazing Frec: 0 LogProb: -11.184393619834605
Palabra: aamchur Frec: 0 LogProb: -11.184393619834605
Palabra: aameria Frec: 0 LogProb: -11.184393619834605
Palabra: aamras Frec: 0 LogProb: -11.184393619834605
Palabra: aandhi Frec: 0 LogProb: -11.184393619834605
Palabra: aandwiches Frec: 0 LogProb: -11.184393619834605
Palabra: aania Frec: 0 LogProb: -11.184393619834605
Palabra: aanya Frec: 0 LogProb: -11.184393619834605
Palabra: aanyacentric Frec: 0 LogProb: -11.184393619834605
Palabra: aao Frec: 0 LogProb: -11.184393619834605
Palabra: aar Frec: 0 LogProb: -11.184393619834605
Palabra: aaram Frec: 0 LogProb: -11.184393619834605
Palabra: aarav Frec: 0 LogProb: -11.184393619834605
Palabra: aarbee Frec: 0 LogProb: -11.184393619834605
Palabra: aarfa Frec: 0 LogProb: -11.184393619834605
Palabra: aari Frec: 0 LogProb: -11.184393619834605
Palabra: aarika Frec: 0 LogProb: -11.184393619834605
Palabra: aarka Frec: 0 LogProb: -11.184393619834605
Palabra: aaron Frec: 0 LogProb: -11.184393619834605
Palabra: aaronovitch Frec: 0 LogProb: -11.184393619834605
Palabra: aarsun Frec: 0 LogProb: -11.184393619834605
Palabra: aart Frec: 0 LogProb: -11.184393619834605
Palabra: aarti Frec: 0 LogProb: -11.184393619834605
Palabra: aas Frec: 0 LogProb: -11.184393619834605
Palabra: aasa Frec: 0 LogProb: -11.184393619834605
Palabra: aashi Frec: 0 LogProb: -11.184393619834605
Palabra: aashiqui Frec: 0 LogProb: -11.184393619834605
Palabra: aashirya Frec: 0 LogProb: -11.184393619834605
Palabra: aashto Frec: 0 LogProb: -11.184393619834605
Palabra: aassembly Frec: 1 LogProb: -10.49124643927466
Palabra: aata Frec: 0 LogProb: -11.184393619834605
Palabra: aatachable Frec: 0 LogProb: -11.184393619834605
Palabra: aati Frec: 0 LogProb: -11.184393619834605
Palabra: aattractive Frec: 0 LogProb: -11.184393619834605
Palabra: aatu Frec: 0 LogProb: -11.184393619834605
Palabra: aaux Frec: 1 LogProb: -10.49124643927466
Palabra: aavishkar Frec: 0 LogProb: -11.184393619834605
Palabra: aavjo Frec: 1 LogProb: -10.49124643927466
Palabra: aayog Frec: 2 LogProb: -10.085781331166496
Palabra: aazeem Frec: 0 LogProb: -11.184393619834605
Palabra: ab Frec: 15 LogProb: -8.411804897594823
Palabra: aba Frec: 0 LogProb: -11.184393619834605
Palabra: ababa Frec: 0 LogProb: -11.184393619834605
Palabra: abacus Frec: 0 LogProb: -11.184393619834605
Palabra: abandon Frec: 1 LogProb: -10.49124643927466
Palabra: abandoned Frec: 0 LogProb: -11.184393619834605
Palabra: abandoning Frec: 0 LogProb: -11.184393619834605
Palabra: abandons Frec: 0 LogProb: -11.184393619834605
Palabra: abap Frec: 0 LogProb: -11.184393619834605
Palabra: abarata Frec: 0 LogProb: -11.184393619834605
Palabra: abaya Frec: 0 LogProb: -11.184393619834605
Palabra: abayas Frec: 0 LogProb: -11.184393619834605
Palabra: abb Frec: 2 LogProb: -10.085781331166496
Palabra: abba Frec: 0 LogProb: -11.184393619834605
Palabra: abbasi Frec: 0 LogProb: -11.184393619834605
Palabra: abbasid Frec: 0 LogProb: -11.184393619834605
Palabra: abbe Frec: 1 LogProb: -10.49124643927466
Palabra: abbey Frec: 0 LogProb: -11.184393619834605
Palabra: abbott Frec: 0 LogProb: -11.184393619834605
Palabra: abbreviation Frec: 0 LogProb: -11.184393619834605
Palabra: abbreviations Frec: 0 LogProb: -11.184393619834605
Palabra: abby Frec: 0 LogProb: -11.184393619834605
Palabra: abbyhus Frec: 0 LogProb: -11.184393619834605
Palabra: abc Frec: 3 LogProb: -9.798099258714714
Palabra: abcnews Frec: 0 LogProb: -11.184393619834605
Palabra: abcs Frec: 0 LogProb: -11.184393619834605
Palabra: abd Frec: 1 LogProb: -10.49124643927466
Palabra: abdomen Frec: 0 LogProb: -11.184393619834605
Palabra: abdominal Frec: 0 LogProb: -11.184393619834605
Palabra: abdomino Frec: 0 LogProb: -11.184393619834605
Palabra: abdool Frec: 0 LogProb: -11.184393619834605
Palabra: abdul Frec: 1 LogProb: -10.49124643927466
Palabra: abe Frec: 0 LogProb: -11.184393619834605
Palabra: abec Frec: 0 LogProb: -11.184393619834605
Palabra: abee Frec: 0 LogProb: -11.184393619834605
Palabra: abel Frec: 0 LogProb: -11.184393619834605
Palabra: aberdeen Frec: 0 LogProb: -11.184393619834605
Palabra: aberrant Frec: 0 LogProb: -11.184393619834605
Palabra: aberration Frec: 6 LogProb: -9.238483470779292
Palabra: aberrations Frec: 4 LogProb: -9.574955707400505
Palabra: aberystwyth Frec: 0 LogProb: -11.184393619834605
Palabra: abha Frec: 0 LogProb: -11.184393619834605
Palabra: abhaya Frec: 0 LogProb: -11.184393619834605
Palabra: abhi Frec: 0 LogProb: -11.184393619834605
Palabra: abhijeet Frec: 0 LogProb: -11.184393619834605
Palabra: abhinav Frec: 0 LogProb: -11.184393619834605
Palabra: abhishek Frec: 0 LogProb: -11.184393619834605
Palabra: abhista Frec: 0 LogProb: -11.184393619834605
Palabra: abhivriti Frec: 0 LogProb: -11.184393619834605
Palabra: abhiyaan Frec: 0 LogProb: -11.184393619834605
Palabra: abhiyanta Frec: 0 LogProb: -11.184393619834605
Palabra: abhiyogyata Frec: 0 LogProb: -11.184393619834605
Palabra: abhm Frec: 0 LogProb: -11.184393619834605
Palabra: abhor Frec: 0 LogProb: -11.184393619834605
Palabra: abhorrence Frec: 0 LogProb: -11.184393619834605
Palabra: abide Frec: 1 LogProb: -10.49124643927466
Palabra: abided Frec: 0 LogProb: -11.184393619834605
Palabra: abiding Frec: 0 LogProb: -11.184393619834605
Palabra: abie Frec: 0 LogProb: -11.184393619834605
Palabra: abies Frec: 0 LogProb: -11.184393619834605
Palabra: abigail Frec: 0 LogProb: -11.184393619834605
Palabra: abilities Frec: 2 LogProb: -10.085781331166496
Palabra: ability Frec: 50 LogProb: -7.252567987110279
Palabra: abiti Frec: 0 LogProb: -11.184393619834605
Palabra: abito Frec: 0 LogProb: -11.184393619834605
Palabra: abject Frec: 0 LogProb: -11.184393619834605
Palabra: abjection Frec: 0 LogProb: -11.184393619834605
Palabra: able Frec: 65 LogProb: -6.99473887780818
Palabra: ableconn Frec: 3 LogProb: -9.798099258714714
Palabra: abled Frec: 0 LogProb: -11.184393619834605
Palabra: ablity Frec: 0 LogProb: -11.184393619834605
Palabra: ably Frec: 0 LogProb: -11.184393619834605
Palabra: abnormal Frec: 0 LogProb: -11.184393619834605
Palabra: abnormality Frec: 0 LogProb: -11.184393619834605
Palabra: aboard Frec: 0 LogProb: -11.184393619834605
Palabra: abode Frec: 0 LogProb: -11.184393619834605
Palabra: abolished Frec: 0 LogProb: -11.184393619834605
Palabra: abolishes Frec: 0 LogProb: -11.184393619834605
Palabra: abominations Frec: 0 LogProb: -11.184393619834605
Palabra: abony Frec: 0 LogProb: -11.184393619834605
Palabra: aboriginal Frec: 0 LogProb: -11.184393619834605
Palabra: aborn Frec: 0 LogProb: -11.184393619834605
Palabra: abortion Frec: 0 LogProb: -11.184393619834605
Palabra: abortions Frec: 0 LogProb: -11.184393619834605
Palabra: abortive Frec: 0 LogProb: -11.184393619834605
Palabra: abound Frec: 1 LogProb: -10.49124643927466
Palabra: abounds Frec: 0 LogProb: -11.184393619834605
Palabra: abour Frec: 0 LogProb: -11.184393619834605
Palabra: aboutthefit Frec: 2 LogProb: -10.085781331166496
Palabra: aboutthis Frec: 0 LogProb: -11.184393619834605
Palabra: abovea Frec: 0 LogProb: -11.184393619834605
Palabra: aboveideal Frec: 0 LogProb: -11.184393619834605
Palabra: aboveled Frec: 2 LogProb: -10.085781331166496
Palabra: abpp Frec: 0 LogProb: -11.184393619834605
Palabra: abraham Frec: 0 LogProb: -11.184393619834605
Palabra: abrahams Frec: 0 LogProb: -11.184393619834605
Palabra: abrams Frec: 0 LogProb: -11.184393619834605
Palabra: abramson Frec: 0 LogProb: -11.184393619834605
Palabra: abrasion Frec: 8 LogProb: -8.987169042498385
Palabra: abrasive Frec: 0 LogProb: -11.184393619834605
Palabra: abrasives Frec: 2 LogProb: -10.085781331166496
Palabra: abreast Frec: 0 LogProb: -11.184393619834605
Palabra: abri Frec: 0 LogProb: -11.184393619834605
Palabra: abridged Frec: 0 LogProb: -11.184393619834605
Palabra: abridgement Frec: 0 LogProb: -11.184393619834605
Palabra: abridgment Frec: 0 LogProb: -11.184393619834605
Palabra: abridgments Frec: 0 LogProb: -11.184393619834605
Palabra: abro Frec: 1 LogProb: -10.49124643927466
Palabra: abroad Frec: 4 LogProb: -9.574955707400505
Palabra: abruptly Frec: 0 LogProb: -11.184393619834605
Palabra: abruzzi Frec: 0 LogProb: -11.184393619834605
Palabra: abs Frec: 85 LogProb: -6.730046323581098
Palabra: absactual Frec: 1 LogProb: -10.49124643927466
Palabra: absales Frec: 0 LogProb: -11.184393619834605
Palabra: absbearing Frec: 1 LogProb: -10.49124643927466
Palabra: abscolour Frec: 1 LogProb: -10.49124643927466
Palabra: abscompatibility Frec: 1 LogProb: -10.49124643927466
Palabra: absence Frec: 3 LogProb: -9.798099258714714
Palabra: absent Frec: 1 LogProb: -10.49124643927466
Palabra: absolute Frec: 14 LogProb: -8.476343418732394
Palabra: absolutebest Frec: 0 LogProb: -11.184393619834605
Palabra: absolutely Frec: 12 LogProb: -8.619444262373069
Palabra: absolutism Frec: 0 LogProb: -11.184393619834605
Palabra: absolutist Frec: 0 LogProb: -11.184393619834605
Palabra: absorb Frec: 6 LogProb: -9.238483470779292
Palabra: absorbable Frec: 0 LogProb: -11.184393619834605
Palabra: absorbance Frec: 0 LogProb: -11.184393619834605
Palabra: absorbed Frec: 2 LogProb: -10.085781331166496
Palabra: absorbency Frec: 2 LogProb: -10.085781331166496
Palabra: absorbent Frec: 2 LogProb: -10.085781331166496
Palabra: absorber Frec: 0 LogProb: -11.184393619834605
Palabra: absorbia Frec: 0 LogProb: -11.184393619834605
Palabra: absorbing Frec: 9 LogProb: -8.88180852684056
Palabra: absorbingly Frec: 0 LogProb: -11.184393619834605
Palabra: absorbs Frec: 11 LogProb: -8.699486970046605
Palabra: absorpt Frec: 0 LogProb: -11.184393619834605
Palabra: absorption Frec: 10 LogProb: -8.786498347036234
Palabra: absorptive Frec: 1 LogProb: -10.49124643927466
Palabra: absplusmetal Frec: 2 LogProb: -10.085781331166496
Palabra: absproduct Frec: 1 LogProb: -10.49124643927466
Palabra: absrobent Frec: 0 LogProb: -11.184393619834605
Palabra: abstinent Frec: 0 LogProb: -11.184393619834605
Palabra: abstract Frec: 1 LogProb: -10.49124643927466
Palabra: abstracted Frec: 0 LogProb: -11.184393619834605
Palabra: abstraction Frec: 0 LogProb: -11.184393619834605
Palabra: abstractions Frec: 0 LogProb: -11.184393619834605
Palabra: absurd Frec: 0 LogProb: -11.184393619834605
