Numero de documentos del corpus: 20000
Numero de palabras del corpus: 278184
Palabra: aa Frec: 5 LogProb: -9.575631423754947
Palabra: aaa Frec: 4 LogProb: -9.757952980548902
Palabra: aaar Frec: 1 LogProb: -10.674243712423056
Palabra: aaas Frec: 1 LogProb: -10.674243712423056
Palabra: aachen Frec: 1 LogProb: -10.674243712423056
Palabra: aadhunik Frec: 1 LogProb: -10.674243712423056
Palabra: aadmi Frec: 1 LogProb: -10.674243712423056
Palabra: aai Frec: 2 LogProb: -10.268778604314893
Palabra: aakash Frec: 1 LogProb: -10.674243712423056
Palabra: aam Frec: 1 LogProb: -10.674243712423056
Palabra: aandhi Frec: 1 LogProb: -10.674243712423056
Palabra: aanya Frec: 1 LogProb: -10.674243712423056
Palabra: aao Frec: 3 LogProb: -9.98109653186311
Palabra: aar Frec: 1 LogProb: -10.674243712423056
Palabra: aarfa Frec: 1 LogProb: -10.674243712423056
Palabra: aaron Frec: 3 LogProb: -9.98109653186311
Palabra: aaronovitch Frec: 3 LogProb: -9.98109653186311
Palabra: aart Frec: 2 LogProb: -10.268778604314893
Palabra: aarti Frec: 1 LogProb: -10.674243712423056
Palabra: aas Frec: 1 LogProb: -10.674243712423056
Palabra: aashiqui Frec: 1 LogProb: -10.674243712423056
Palabra: aashto Frec: 1 LogProb: -10.674243712423056
Palabra: aati Frec: 1 LogProb: -10.674243712423056
Palabra: aavishkar Frec: 1 LogProb: -10.674243712423056
Palabra: ab Frec: 2 LogProb: -10.268778604314893
Palabra: aba Frec: 1 LogProb: -10.674243712423056
Palabra: ababa Frec: 1 LogProb: -10.674243712423056
Palabra: abandon Frec: 1 LogProb: -10.674243712423056
Palabra: abandoned Frec: 9 LogProb: -9.064805799988957
Palabra: abandoning Frec: 1 LogProb: -10.674243712423056
Palabra: abandons Frec: 1 LogProb: -10.674243712423056
Palabra: abap Frec: 1 LogProb: -10.674243712423056
Palabra: abba Frec: 3 LogProb: -9.98109653186311
Palabra: abbasi Frec: 1 LogProb: -10.674243712423056
Palabra: abbasid Frec: 1 LogProb: -10.674243712423056
Palabra: abbey Frec: 1 LogProb: -10.674243712423056
Palabra: abbott Frec: 5 LogProb: -9.575631423754947
Palabra: abbreviation Frec: 1 LogProb: -10.674243712423056
Palabra: abbreviations Frec: 2 LogProb: -10.268778604314893
Palabra: abby Frec: 3 LogProb: -9.98109653186311
Palabra: abc Frec: 21 LogProb: -8.276348439624686
Palabra: abcnews Frec: 1 LogProb: -10.674243712423056
Palabra: abcs Frec: 3 LogProb: -9.98109653186311
Palabra: abd Frec: 1 LogProb: -10.674243712423056
Palabra: abdomino Frec: 1 LogProb: -10.674243712423056
Palabra: abdool Frec: 1 LogProb: -10.674243712423056
Palabra: abdul Frec: 9 LogProb: -9.064805799988957
Palabra: abec Frec: 1 LogProb: -10.674243712423056
Palabra: abel Frec: 7 LogProb: -9.287949351303165
Palabra: aberdeen Frec: 1 LogProb: -10.674243712423056
Palabra: aberrant Frec: 1 LogProb: -10.674243712423056
Palabra: aberystwyth Frec: 1 LogProb: -10.674243712423056
Palabra: abha Frec: 1 LogProb: -10.674243712423056
Palabra: abhi Frec: 1 LogProb: -10.674243712423056
Palabra: abhijeet Frec: 1 LogProb: -10.674243712423056
Palabra: abhinav Frec: 3 LogProb: -9.98109653186311
Palabra: abhishek Frec: 7 LogProb: -9.287949351303165
Palabra: abhivriti Frec: 2 LogProb: -10.268778604314893
Palabra: abhiyanta Frec: 1 LogProb: -10.674243712423056
Palabra: abhiyogyata Frec: 1 LogProb: -10.674243712423056
Palabra: abhm Frec: 1 LogProb: -10.674243712423056
Palabra: abhor Frec: 1 LogProb: -10.674243712423056
Palabra: abhorrence Frec: 1 LogProb: -10.674243712423056
Palabra: abide Frec: 1 LogProb: -10.674243712423056
Palabra: abided Frec: 1 LogProb: -10.674243712423056
Palabra: abiding Frec: 2 LogProb: -10.268778604314893
Palabra: abie Frec: 1 LogProb: -10.674243712423056
Palabra: abigail Frec: 3 LogProb: -9.98109653186311
Palabra: abilities Frec: 11 LogProb: -8.882484243195002
Palabra: ability Frec: 107 LogProb: -6.685259665858782
Palabra: abject Frec: 1 LogProb: -10.674243712423056
Palabra: abjection Frec: 1 LogProb: -10.674243712423056
Palabra: able Frec: 70 LogProb: -7.104711015941686
Palabra: abled Frec: 1 LogProb: -10.674243712423056
Palabra: ably Frec: 2 LogProb: -10.268778604314893
Palabra: abnormal Frec: 6 LogProb: -9.421480743927688
Palabra: aboard Frec: 5 LogProb: -9.575631423754947
Palabra: abode Frec: 2 LogProb: -10.268778604314893
Palabra: abolished Frec: 1 LogProb: -10.674243712423056
Palabra: abominations Frec: 1 LogProb: -10.674243712423056
Palabra: aboriginal Frec: 1 LogProb: -10.674243712423056
Palabra: aborn Frec: 1 LogProb: -10.674243712423056
Palabra: abortion Frec: 3 LogProb: -9.98109653186311
Palabra: abortions Frec: 1 LogProb: -10.674243712423056
Palabra: abortive Frec: 1 LogProb: -10.674243712423056
Palabra: abound Frec: 1 LogProb: -10.674243712423056
Palabra: abounds Frec: 1 LogProb: -10.674243712423056
Palabra: abovea Frec: 1 LogProb: -10.674243712423056
Palabra: aboveideal Frec: 1 LogProb: -10.674243712423056
Palabra: abpp Frec: 2 LogProb: -10.268778604314893
Palabra: abraham Frec: 11 LogProb: -8.882484243195002
Palabra: abrahams Frec: 1 LogProb: -10.674243712423056
Palabra: abrams Frec: 2 LogProb: -10.268778604314893
Palabra: abramson Frec: 1 LogProb: -10.674243712423056
Palabra: abreast Frec: 2 LogProb: -10.268778604314893
Palabra: abridged Frec: 4 LogProb: -9.757952980548902
Palabra: abridgement Frec: 1 LogProb: -10.674243712423056
Palabra: abridgment Frec: 2 LogProb: -10.268778604314893
Palabra: abridgments Frec: 1 LogProb: -10.674243712423056
Palabra: abroad Frec: 28 LogProb: -8.000095062996527
Palabra: abruptly Frec: 2 LogProb: -10.268778604314893
Palabra: abruzzi Frec: 2 LogProb: -10.268778604314893
Palabra: abs Frec: 4 LogProb: -9.757952980548902
Palabra: absence Frec: 8 LogProb: -9.170166315646782
Palabra: absent Frec: 3 LogProb: -9.98109653186311
Palabra: absolute Frec: 15 LogProb: -8.59480217074322
Palabra: absolutebest Frec: 1 LogProb: -10.674243712423056
Palabra: absolutely Frec: 53 LogProb: -7.378406846418727
Palabra: absolutism Frec: 1 LogProb: -10.674243712423056
Palabra: absolutist Frec: 1 LogProb: -10.674243712423056
Palabra: absorb Frec: 7 LogProb: -9.287949351303165
Palabra: absorbed Frec: 5 LogProb: -9.575631423754947
Palabra: absorbent Frec: 1 LogProb: -10.674243712423056
Palabra: absorbing Frec: 31 LogProb: -7.901654990183275
Palabra: absorbingly Frec: 2 LogProb: -10.268778604314893
Palabra: absorbs Frec: 4 LogProb: -9.757952980548902
Palabra: abstract Frec: 5 LogProb: -9.575631423754947
Palabra: abstracted Frec: 1 LogProb: -10.674243712423056
Palabra: abstraction Frec: 1 LogProb: -10.674243712423056
Palabra: abstractions Frec: 1 LogProb: -10.674243712423056
Palabra: absurd Frec: 10 LogProb: -8.969495620184631
Palabra: absurdism Frec: 1 LogProb: -10.674243712423056
Palabra: absurdities Frec: 1 LogProb: -10.674243712423056
Palabra: absurdity Frec: 2 LogProb: -10.268778604314893
Palabra: absurdly Frec: 2 LogProb: -10.268778604314893
Palabra: abt Frec: 2 LogProb: -10.268778604314893
Palabra: abta Frec: 1 LogProb: -10.674243712423056
