Numero de documentos del corpus: 20000
Numero de palabras del corpus: 155735
Palabra: aa Frec: 2 LogProb: -9.991162598137906
Palabra: aadi Frec: 1 LogProb: -10.39662770624607
Palabra: aaiffel Frec: 1 LogProb: -10.39662770624607
Palabra: aaj Frec: 1 LogProb: -10.39662770624607
Palabra: aakrithi Frec: 3 LogProb: -9.703480525686125
Palabra: aania Frec: 2 LogProb: -9.991162598137906
Palabra: aaram Frec: 1 LogProb: -10.39662770624607
Palabra: aarbee Frec: 4 LogProb: -9.480336974371916
Palabra: aari Frec: 2 LogProb: -9.991162598137906
Palabra: aarika Frec: 3 LogProb: -9.703480525686125
Palabra: aasa Frec: 1 LogProb: -10.39662770624607
Palabra: aashirya Frec: 1 LogProb: -10.39662770624607
Palabra: aatachable Frec: 1 LogProb: -10.39662770624607
Palabra: aattractive Frec: 2 LogProb: -9.991162598137906
Palabra: aatu Frec: 1 LogProb: -10.39662770624607
Palabra: ab Frec: 1 LogProb: -10.39662770624607
Palabra: abarata Frec: 1 LogProb: -10.39662770624607
Palabra: abaya Frec: 19 LogProb: -8.094042613252025
Palabra: abayas Frec: 3 LogProb: -9.703480525686125
Palabra: abd Frec: 2 LogProb: -9.991162598137906
Palabra: abdomen Frec: 21 LogProb: -7.9987324334476995
Palabra: abdominal Frec: 11 LogProb: -8.604868237018016
Palabra: abe Frec: 2 LogProb: -9.991162598137906
Palabra: abhaya Frec: 1 LogProb: -10.39662770624607
Palabra: abhi Frec: 3 LogProb: -9.703480525686125
Palabra: abilities Frec: 1 LogProb: -10.39662770624607
Palabra: ability Frec: 15 LogProb: -8.317186164566234
Palabra: abiti Frec: 1 LogProb: -10.39662770624607
Palabra: abito Frec: 5 LogProb: -9.298015417577961
Palabra: able Frec: 13 LogProb: -8.450717557190757
Palabra: ablity Frec: 1 LogProb: -10.39662770624607
Palabra: abrasion Frec: 2 LogProb: -9.991162598137906
Palabra: abrasive Frec: 1 LogProb: -10.39662770624607
Palabra: abroad Frec: 4 LogProb: -9.480336974371916
Palabra: abs Frec: 2 LogProb: -9.991162598137906
Palabra: absence Frec: 1 LogProb: -10.39662770624607
Palabra: absolute Frec: 16 LogProb: -8.2565615427498
Palabra: absolutely Frec: 19 LogProb: -8.094042613252025
Palabra: absorb Frec: 15 LogProb: -8.317186164566234
Palabra: absorbency Frec: 3 LogProb: -9.703480525686125
Palabra: absorbent Frec: 43 LogProb: -7.305585252887754
Palabra: absorber Frec: 1 LogProb: -10.39662770624607
Palabra: absorbing Frec: 25 LogProb: -7.831678348784533
