Numero de documentos del corpus: 20000
Numero de palabras del corpus: 393195
Palabra: aa Frec: 50 LogProb: -7.337485680591184
Palabra: aaa Frec: 27 LogProb: -7.937106803140306
Palabra: aac Frec: 1 LogProb: -10.576164132755565
Palabra: aadhya Frec: 1 LogProb: -10.576164132755565
Palabra: aadi Frec: 1 LogProb: -10.576164132755565
Palabra: aadmora Frec: 1 LogProb: -10.576164132755565
Palabra: aadvay Frec: 1 LogProb: -10.576164132755565
Palabra: aai Frec: 1 LogProb: -10.576164132755565
Palabra: aalim Frec: 1 LogProb: -10.576164132755565
Palabra: aam Frec: 3 LogProb: -9.88301695219562
Palabra: aamazing Frec: 1 LogProb: -10.576164132755565
Palabra: aamchur Frec: 1 LogProb: -10.576164132755565
Palabra: aameria Frec: 1 LogProb: -10.576164132755565
Palabra: aamras Frec: 1 LogProb: -10.576164132755565
Palabra: aandwiches Frec: 1 LogProb: -10.576164132755565
Palabra: aanya Frec: 1 LogProb: -10.576164132755565
Palabra: aanyacentric Frec: 1 LogProb: -10.576164132755565
Palabra: aaram Frec: 2 LogProb: -10.170699024647401
Palabra: aarav Frec: 1 LogProb: -10.576164132755565
Palabra: aari Frec: 1 LogProb: -10.576164132755565
Palabra: aarka Frec: 3 LogProb: -9.88301695219562
Palabra: aarsun Frec: 7 LogProb: -9.189869771635674
Palabra: aart Frec: 8 LogProb: -9.07208673597929
Palabra: aarti Frec: 2 LogProb: -10.170699024647401
Palabra: aashi Frec: 3 LogProb: -9.88301695219562
Palabra: aata Frec: 1 LogProb: -10.576164132755565
Palabra: aattractive Frec: 1 LogProb: -10.576164132755565
Palabra: aazeem Frec: 1 LogProb: -10.576164132755565
Palabra: ab Frec: 4 LogProb: -9.659873400881409
Palabra: abacus Frec: 1 LogProb: -10.576164132755565
Palabra: abbyhus Frec: 1 LogProb: -10.576164132755565
Palabra: abc Frec: 3 LogProb: -9.88301695219562
Palabra: abee Frec: 1 LogProb: -10.576164132755565
Palabra: aberration Frec: 5 LogProb: -9.477551844087456
Palabra: abhista Frec: 1 LogProb: -10.576164132755565
Palabra: abhiyaan Frec: 5 LogProb: -9.477551844087456
Palabra: abies Frec: 1 LogProb: -10.576164132755565
Palabra: abilities Frec: 4 LogProb: -9.659873400881409
Palabra: ability Frec: 39 LogProb: -7.580431859201574
Palabra: able Frec: 88 LogProb: -6.780674943583371
Palabra: abnormal Frec: 5 LogProb: -9.477551844087456
Palabra: abnormality Frec: 1 LogProb: -10.576164132755565
Palabra: abolishes Frec: 1 LogProb: -10.576164132755565
Palabra: abony Frec: 3 LogProb: -9.88301695219562
Palabra: abour Frec: 1 LogProb: -10.576164132755565
Palabra: aboutthis Frec: 2 LogProb: -10.170699024647401
Palabra: abrasion Frec: 12 LogProb: -8.704361955853974
Palabra: abrasive Frec: 28 LogProb: -7.902015483329036
Palabra: abrasives Frec: 1 LogProb: -10.576164132755565
Palabra: abri Frec: 1 LogProb: -10.576164132755565
Palabra: abro Frec: 2 LogProb: -10.170699024647401
Palabra: abroad Frec: 2 LogProb: -10.170699024647401
Palabra: abruptly Frec: 1 LogProb: -10.576164132755565
Palabra: abs Frec: 191 LogProb: -6.011815941287729
Palabra: absales Frec: 3 LogProb: -9.88301695219562
Palabra: absence Frec: 6 LogProb: -9.323401164260197
Palabra: absolute Frec: 26 LogProb: -7.973474447311181
Palabra: absolutely Frec: 49 LogProb: -7.357288307887364
Palabra: absorb Frec: 53 LogProb: -7.280327266751236
Palabra: absorbable Frec: 1 LogProb: -10.576164132755565
Palabra: absorbance Frec: 1 LogProb: -10.576164132755565
Palabra: absorbed Frec: 10 LogProb: -8.87141604051714
Palabra: absorbency Frec: 21 LogProb: -8.178268859957194
Palabra: absorbent Frec: 104 LogProb: -6.6153509631579865
Palabra: absorber Frec: 10 LogProb: -8.87141604051714
Palabra: absorbia Frec: 2 LogProb: -10.170699024647401
Palabra: absorbing Frec: 11 LogProb: -8.78440466352751
Palabra: absorbs Frec: 54 LogProb: -7.261978128083039
Palabra: absorpt Frec: 1 LogProb: -10.576164132755565
Palabra: absorption Frec: 20 LogProb: -8.224788875592088
Palabra: absrobent Frec: 1 LogProb: -10.576164132755565
Palabra: abstract Frec: 24 LogProb: -8.05043548844731
Palabra: abtrix Frec: 1 LogProb: -10.576164132755565
Palabra: abundance Frec: 6 LogProb: -9.323401164260197
Palabra: abuse Frec: 4 LogProb: -9.659873400881409
Palabra: abused Frec: 1 LogProb: -10.576164132755565
Palabra: abzorb Frec: 4 LogProb: -9.659873400881409
Palabra: abzorbt Frec: 1 LogProb: -10.576164132755565
Palabra: ac Frec: 135 LogProb: -6.356656427579458
Palabra: acacia Frec: 5 LogProb: -9.477551844087456
Palabra: acaro Frec: 1 LogProb: -10.576164132755565
Palabra: accelerate Frec: 2 LogProb: -10.170699024647401
Palabra: accelerated Frec: 1 LogProb: -10.576164132755565
Palabra: accelerates Frec: 3 LogProb: -9.88301695219562
Palabra: accent Frec: 39 LogProb: -7.580431859201574
Palabra: accented Frec: 2 LogProb: -10.170699024647401
Palabra: accents Frec: 21 LogProb: -8.178268859957194
Palabra: accentuate Frec: 5 LogProb: -9.477551844087456
Palabra: accenture Frec: 1 LogProb: -10.576164132755565
Palabra: accept Frec: 2 LogProb: -10.170699024647401
Palabra: acceptable Frec: 2 LogProb: -10.170699024647401
Palabra: acceptance Frec: 3 LogProb: -9.88301695219562
Palabra: accepted Frec: 7 LogProb: -9.189869771635674
Palabra: accepting Frec: 3 LogProb: -9.88301695219562
Palabra: accepts Frec: 8 LogProb: -9.07208673597929
Palabra: access Frec: 76 LogProb: -6.925505891461826
Palabra: accessed Frec: 8 LogProb: -9.07208673597929
Palabra: accesses Frec: 1 LogProb: -10.576164132755565
Palabra: accessibility Frec: 4 LogProb: -9.659873400881409
Palabra: accessible Frec: 20 LogProb: -8.224788875592088
Palabra: accessing Frec: 3 LogProb: -9.88301695219562
Palabra: accessories Frec: 349 LogProb: -5.411378158832051
Palabra: accessoriescreate Frec: 1 LogProb: -10.576164132755565
Palabra: accessoriesnote Frec: 2 LogProb: -10.170699024647401
Palabra: accessoriesperfect Frec: 1 LogProb: -10.576164132755565
Palabra: accessorising Frec: 1 LogProb: -10.576164132755565
Palabra: accessorize Frec: 6 LogProb: -9.323401164260197
Palabra: accessory Frec: 144 LogProb: -6.292577570894936
Palabra: accezory Frec: 4 LogProb: -9.659873400881409
Palabra: accident Frec: 4 LogProb: -9.659873400881409
Palabra: accidental Frec: 13 LogProb: -8.630253983700252
Palabra: accidentally Frec: 10 LogProb: -8.87141604051714
Palabra: accidently Frec: 2 LogProb: -10.170699024647401
Palabra: accidents Frec: 20 LogProb: -8.224788875592088
Palabra: acclaimed Frec: 2 LogProb: -10.170699024647401
Palabra: accommodate Frec: 37 LogProb: -7.631725153589125
Palabra: accommodated Frec: 5 LogProb: -9.477551844087456
Palabra: accommodates Frec: 15 LogProb: -8.496722591075729
Palabra: accommodation Frec: 2 LogProb: -10.170699024647401
Palabra: accomodating Frec: 4 LogProb: -9.659873400881409
Palabra: accompanied Frec: 2 LogProb: -10.170699024647401
Palabra: accompaniment Frec: 4 LogProb: -9.659873400881409
Palabra: accompaniments Frec: 1 LogProb: -10.576164132755565
Palabra: accompany Frec: 8 LogProb: -9.07208673597929
Palabra: accomplices Frec: 1 LogProb: -10.576164132755565
Palabra: accomplish Frec: 1 LogProb: -10.576164132755565
Palabra: accomplishing Frec: 1 LogProb: -10.576164132755565
